company_name,world_rank,headquarter,market cap(Billion USD),business_sector
SMS,"6,317",Japan,1.54,Real Estate
IRONWOOD PHARMACEUTICALS,"6,318",USA,1.54,Financial Services
BEIJING SIFANG AUTOMATION,"6,319",China,1.54,"Basic Materials, Mining"
STANMORE COAL,"6,320",Australia,1.54,"Financial Services, Banking Services"
STANDEX INTERNATIONAL CORPORATION,"6,321",USA,1.54,Real Estate
TEXTAINER GROUP HOLDINGS LIMITED,"6,322",Bermuda,1.54,"Basic Materials, Agriculture Related"
HAPPIEST MINDS TECHNOLOGIES,"6,323",India,1.539,"Retail, Animal Feed"
CAPEX,"6,324",Argentina,1.539,"Industries, Business Services"
XGD,"6,325",China,1.539,Hotels
COMPEQ MANUFACTURING,"6,326",Taiwan,1.538,"Technology, Software and IT Infrastructure"
TODA CORPORATION,"6,327",Japan,1.538,"Basic Materials, Precious Metals"
EUTELSAT COMMUNICATIONS,"6,328",France,1.538,"Farming / Seeds / Milling, Fishing"
BRINKER INTERNATIONAL,"6,329",USA,1.538,"Automobile, Electric Vehicles, Trucks"
ENOVA INTERNATIONAL,"6,330",USA,1.538,"Financial Services, Banking Services"
GUIZHOU BC&TV INFORMATION NETWORK,"6,331",China,1.537,"Real Estate, Retail, Property Investments, Commercial Properties"
"CLAROS MORTGAGE TRUST, INC.","6,332",USA,1.536,"Real Estate, Financial Services"
NUODE INVESTMENT,"6,333",China,1.536,"Technology, Software and IT"
TELEVISION FRANCAISE 1 SOCIETE ANONYME,"6,334",France,1.535,"Utilities, Water Utilities"
POYA INTERNATIONAL,"6,335",Taiwan,1.535,"Basic Materials, Chemicals, Agriculture Related"
ARB CORPORATION,"6,336",Australia,1.535,"Baby Care Products, FMCG, Personal Care Products"
UNITED ELECTRONICS COMPANY,"6,337",Saudi Arabia,1.535,"Technology, Communications Equipment"
RBL BANK,"6,338",India,1.535,"Automobile, Automobile Parts"
TALKTALK TELECOM GROUP,"6,338",UK,1.534,"Healthcare, Biotechnology, Technology, HealthCare Products"
DENKA COMPANY,"6,339",Japan,1.534,"Healthcare, Biotechnology"
CENTENNIAL RESOURCE DEVELOPMENT,"6,340",USA,1.534,"Real Estate, Healthcare, Property Investments"
WARBY PARKER INC.,"6,340",USA,1.533,"Financial Services, Asset Management"
CTS INTERNATIONAL LOGISTICS CORPORATION,"6,341",China,1.532,"Utilities, Gas Utilities"
YAMAGUCHI FINANCIAL GROUP,"6,342",Japan,1.532,"Technology, Electronics, Semiconductors, Solar Power Devices"
HARBIN HATOU INVESTMENT,"6,343",China,1.532,Real Estate
TEJAS NETWORKS,"6,344",India,1.532,"Basic Materials, Chemicals, Paper and Pulp"
PROS HOLDINGS,"6,345",USA,1.532,"Basic Materials, Iron and Steel"
BEIJING VANTONE REAL ESTATE,"6,346",China,1.532,"Basic Materials, Aluminum"
FAR EAST SMARTER ENERGY,"6,347",China,1.531,"Real Estate, Consumer Services, Retail, Property Investments, Commercial Properties"
CENTER INTERNATIONAL GROUP,"6,348",China,1.53,"Financial Services, Banking Services"
H&E EQUIPMENT SERVICES,"6,349",USA,1.53,"Healthcare, HealthCare Products, Biotechnology"
ARYZTA AG,"6,350",Switzerland,1.529,Technology
LIFETECH SCIENTIFIC CORPORATION,"6,351",China,1.529,"Energy, Oil and Gas"
SIGDO KOPPERS,"6,352",Chile,1.528,"Financial Services, Banking Services"
TELECOM PLUS,"6,352",UK,1.526,Home Furnishing
JIANGSU SHUANGXING COLOR PLASTIC NEW MATERIALS,"6,353",China,1.526,"HealthCare Products, Retail"
ALLIED PROPERTIES (H.K.),"6,354",Hong Kong,1.526,"Healthcare, Pharmaceutical, Cannabis"
LLOYDS METALS AND ENERGY,"6,354",India,1.525,"Technology, Electronics, Semiconductors"
TLG IMMOBILIEN AG,"6,355",Germany,1.524,Real Estate
AFFLE (INDIA) LIMITED,"6,356",India,1.524,"Industries, Transportation, Aerospace and Defense"
SHANDONG SINOBIOWAY BIOMEDICINE,"6,357",China,1.524,"Basic Materials, Paints and Coatings, Chemicals"
GRUPA KETY S.A.,"6,358",Poland,1.524,"Communication Services, Broadcasting"
ORIENT REFRACTORIES,"6,359",India,1.523,"Automobile, Automobile Parts"
"SHENZHEN ZHAOWEI MACHINERY & ELECTRONIC CO., LTD.","6,359",China,1.523,"Financial Services, Stock Markets, Trading, Capital Markets"
BNK FINANCIAL GROUP,"6,360",South Korea,1.521,"Technology, Semiconductors, Electronics"
HULIC REIT,"6,361",Japan,1.521,"Technology, Communications Equipment"
ENAEX,"6,362",Chile,1.521,"Financial Services, Stock Markets, Trading, Capital Markets"
KESHUN WATERPROOF TECHNOLOGY,"6,363",China,1.521,Asset Management
VISUAL CHINA GROUP,"6,364",China,1.52,"Technology, Electronics, Consumer Non Durables, Communications Equipment"
KUNSHAN KINGLAI HYGIENIC MATERIALS,"6,365",China,1.52,"Internet or Mobile App Based Business, Software and IT, Travel and Transport"
KENEDIX RESIDENTIAL NEXT INVESTMENT CORPORATION,"6,366",Japan,1.52,"Industries, Waste and Trash Management"
FEDERAL AGRICULTURAL MORTGAGE CORPORATION,"6,367",USA,1.519,"Financial Services, Banking Services"
SHANDONG SHIDA SHENGHUA CHEMICAL GROUP COMPANY,"6,368",China,1.519,Utilities
THAI UNION GROUP PUBLIC COMPANY,"6,369",Thailand,1.519,"Technology, Satellites, Communication Services, Communications Equipment"
GUANGDONG MARUBI BIOTECHNOLOGY,"6,370",China,1.519,"Basic Materials, Chemicals"
FLEX LNG,"6,371",Bermuda,1.519,"Agriculture Products, Farming / Seeds / Milling, Agriculture Related"
THE GABELLI EQUITY TRUST,"6,372",USA,1.519,"Basic Materials, Mining, Iron and Steel, Metals"
ORG TECHNOLOGY,"6,373",China,1.519,"Internet or Mobile App Based Business, Consumer Services, Entertainment, Gaming, Gambling"
GUANGDONG GOLDEN DRAGON DEVELOPMENT,"6,374",China,1.518,"Technology, Software and IT, Software Products, Software and IT Infrastructure"
GREENTOWN SERVICE GROUP,"6,375",China,1.518,"Industries, Shipping"
OLAV THON EIENDOMSSELSKAP ASA,"6,376",Norway,1.518,"Industries, Electrical Products"
SOLARWINDS CORPORATION,"6,377",USA,1.517,"Real Estate, Investments, Property Investments"
ENERGY RECOVERY,"6,378",USA,1.517,"Industries, Computers Hardware"
ELION ENERGY COMPANY,"6,379",China,1.516,"Technology, Internet or Mobile App Based Business"
ALERION CLEAN POWER,"6,380",Italy,1.516,"Utilities, Electric Utilities, Renewable Energy"
HOMECO DAILY NEEDS REIT,"6,381",Australia,1.516,"Healthcare, Pharmaceutical"
EZAKI GLICO,"6,382",Japan,1.516,"Industries, Industry Machinery"
OXFORD INDUSTRIES,"6,383",USA,1.516,"Technology, Communications Equipment"
BODYCOTE,"6,384",UK,1.515,"Basic Materials, Chemicals"
KINGKEY FINANCIAL INTERNATIONAL (HOLDINGS) LIMITED,"6,385",Hong Kong,1.515,"Communication Services, Advertising, Analytics, Internet or Mobile App Based Business, Market Research"
KENT GIDA MADDELERI SANAYII VE TICARET,"6,386",Turkey,1.515,"Basic Materials, Copper Mining, Mining"
GUANGZHOU WONDFO BIOTECH,"6,387",China,1.515,"Industries, Electrical Products, Lighting Products, Batteries"
NIPPON ELECTRIC GLASS,"6,388",Japan,1.515,"Industries, Industry Machinery"
KAR AUCTION SERVICES,"6,389",USA,1.514,"Financial Services, Banking Services"
SHANGHAI BAOLONG AUTOMOTIVE CORPORATION,"6,390",China,1.514,"Basic Materials, Iron and Steel, Metals"
IVANHOE ELECTRIC INC.,"6,391",Canada,1.514,Financial Services
APOLLO COMMERCIAL REAL ESTATE FINANCE,"6,392",USA,1.513,"Financial Services, Asset Management"
INTERCOS S.P.A.,"6,393",Italy,1.513,"Financial Services, Asset Management"
KAHOOT! ASA,"6,394",Norway,1.513,"FMCG, Package Foods, Food Products"
BALTIC CLASSIFIEDS GROUP PLC,"6,395",UK,1.513,"Basic Materials, Paper and Pulp"
"SHANDONG DONGYUE ORGANOSILICON MATERIALS CO., LTD.","6,395",China,1.513,"Healthcare, Biotechnology, Biopharmaceutical"
HEIWA CORPORATION,"6,396",Japan,1.512,"Basic Materials, FMCG, Package Foods, Food Products"
RISESUN REAL ESTATE DEVELOPMENT,"6,397",China,1.511,"Healthcare, Healthcare Technology and Information"
PT SILOAM INTERNATIONAL HOSPITALS TBK,"6,398",Indonesia,1.51,"Industries, Investments, Conglomerate"
FEDERAL GRID COMPANY OF UNIFIED ENERGY SYSTEM,"6,399",Russia,1.51,"Basic Materials, Chemicals, Conglomerate, FMCG, Construction Materials"
"ANHUI WANWEI UPDATED HIGH-TECH MATERIAL INDUSTRY CO.,LTD","6,399",China,1.509,"Technology, Communications Equipment"
PEPTIDREAM,"6,400",Japan,1.509,Restaurants
CHUNG-HSIN ELECTRIC & MACHINERY MFG,"6,401",Taiwan,1.509,Industries
HAMMERSON,"6,402",UK,1.509,"Healthcare, HealthCare Products, Biotechnology, Biopharmaceutical"
UNIPAR CARBOCLORO,"6,403",Brazil,1.508,"Food Products, Consumer Services, Retail"
APTUS VALUE HOUSING FINANCE INDIA LIMITED,"6,404",India,1.508,"Industries, Construction, Engineering Services"
PT METROPOLITAN KENTJANA TBK,"6,405",Indonesia,1.507,Real Estate
JIAYOU INTERNATIONAL LOGISTICS,"6,406",China,1.506,"Industries, Cables and Wires, Software and IT Infrastructure"
"CUSTOM TRUCK ONE SOURCE, INC.","6,407",USA,1.506,"Utilities, Gas Utilities"
ASSECO POLAND,"6,408",Poland,1.506,"Industries, Logistics, Freight Transport, Chemicals, Shipping"
"JANUS INTERNATIONAL GROUP, INC.","6,409",USA,1.505,"Basic Materials, Gold Mining, Mining"
JMT NETWORK SERVICES PUBLIC COMPANY,"6,410",Thailand,1.505,"Gambling, Electronics, Entertainment, Property Investments, Lottery"
KINGSOFT CLOUD,"6,411",China,1.504,Financial Services
DADA NEXUS LTD,"6,412",China,1.504,Real Estate
YANBU CEMENT COMPANY,"6,413",Saudi Arabia,1.504,"Healthcare, Healthcare Service, Hospitals"
ANDERSONS,"6,414",USA,1.504,"Technology Hardware and Instruments, Engineering Products, Railway Vehicles and Railway Components, Railway Components"
AMOREPACIFIC GROUP,"6,415",South Korea,1.503,"Video Games / Mobile Games / Tech Games / Casino Games, Gaming, Technology, Entertainment"
WESBANCO,"6,416",USA,1.503,"Financial Services, Banking Services"
RESORTTRUST,"6,417",Japan,1.503,"Communication Services, Internet or Mobile App Based Business"
LIANCHUANG ELECTRONIC TECHNOLOGY,"6,418",China,1.502,"Boats, Leisure, Entertainment"
BETSSON AB,"6,419",Sweden,1.502,"Basic Materials, Chemicals"
FINE ORGANIC INDUSTRIES LIMITED,"6,420",India,1.501,"Industries, Machinery Manufacturing, Packaging Machines, Industry Machinery"
NIPPON GAS,"6,421",Japan,1.501,"Basic Materials, Cement, Construction Materials"
QASSIM CEMENT COMPANY,"6,422",Saudi Arabia,1.5,"Retail, Hypermarkets"
YOOZOO GAMES,"6,423",China,1.5,"Technology, Electronics, Consumer Electronics"
YUSYS TECHNOLOGIES,"6,424",China,1.499,Package Foods
UDEMY,"6,425",USA,1.499,"Financial Services, Insurance"
"TRIUMPH FINANCIAL, INC.","6,426",USA,1.499,"Industries, Industry Machinery"
BENEFIT ONE,"6,427",Japan,1.498,"Healthcare, Biotechnology"
NINGBO BOWAY ALLOY MATERIAL COMPANY,"6,428",China,1.498,"Technology, Software and IT"
NATIONAL MEDICAL CARE COMPANY,"6,429",Saudi Arabia,1.497,"Technology, Electronics, Capital Goods"
CEMENTOS ARGOS S.A.,"6,430",Colombia,1.496,"Industries, Metal Fabrication Products"
DIAMOND BIOFUND INC.,"6,430",Taiwan,1.496,"Technology, Software and IT Infrastructure"
THONBURI HEALTHCARE GROUP PUBLIC COMPANY,"6,431",Thailand,1.496,Asset Management
HARMONIC,"6,432",USA,1.496,Hotels
HENGDIAN ENTERTAINMENT,"6,433",China,1.496,"Real Estate, Commercial Properties, Property Investments, Investments"
FANGDA SPECIAL STEEL TECHNOLOGY,"6,434",China,1.495,Packaging
SANSTEEL MINGUANG.FUJIAN,"6,436",China,1.495,"Industries, Building Products and Equipment"
KOKUYO,"6,437",Japan,1.494,"Communication Services, Advertising"
K12,"6,438",USA,1.494,"Consumer Services, Retail, Internet or Mobile App Based Business, eCommerce"
CLEAN SCIENCE AND TECHNOLOGY LIMITED,"6,439",India,1.493,"Food Products, FMCG, Package Foods"
BLACKROCK CAPITAL ALLOCATION TRUST,"6,440",USA,1.493,"Real Estate, Property Investments"
CHINA LOGISTICS PROPERTY HOLDINGS CO. LTD,"6,441",China,1.493,"Industries, Waste and Trash Management, Environmental Services"
VIETNAM ENTERPRISE INVESTMENTS LIMITED,"6,442",Cayman Islands,1.493,"Automobile, Automobile Parts, Capital Goods"
JIANGSU KANION PHARMACEUTICAL,"6,443",China,1.493,"Industries, Industry Machinery"
ZHONGSHAN PUBLIC UTILITIES GROUP,"6,444",China,1.491,"Communication Services, Internet or Mobile App Based Business, Betting, Sports Related"
LIVE OAK BANCSHARES,"6,445",USA,1.491,"Technology, Software and IT"
JOYOUNG,"6,446",China,1.49,Real Estate
HORNBACH BAUMARKT AG,"6,447",Germany,1.49,"Basic Materials, Construction Materials, Cement, Capital Goods"
HEXING ELECTRICAL,"6,448",China,1.49,"Real Estate, Property Investments"
"DONGJIN SEMICHEM CO., LTD.","6,449",South Korea,1.49,"Basic Materials, Chemicals"
RAI WAY,"6,450",Italy,1.49,"Basic Materials, Gold Mining, Mining"
HERBALIFE NUTRITION,"6,451",USA,1.489,"Luxury Goods, Retail, Jewellery"
WUXI RURAL COMMERCIAL BANK,"6,452",China,1.489,"Real Estate, Property Investments"
SUPERNUS PHARMACEUTICALS,"6,453",USA,1.489,"Technology, Software and IT Infrastructure"
PRIMORIS SERVICES CORPORATION,"6,454",USA,1.489,"Industries, Airlines, Aviation"
PERION NETWORK,"6,455",Israel,1.489,"Basic Materials, Chemicals"
"WUXI PAIKE NEW MATERIALS TECHNOLOGY CO.,LTD.","6,456",China,1.488,"Automobile, Automobile Parts"
NANJING GAOKE COMPANY,"6,457",China,1.487,"Technology, Semiconductors"
"SUZHOU JINHONG GAS CO., LTD.","6,458",China,1.487,Healthcare
MRV ENGENHARIA E PARTICIPACOES,"6,459",Brazil,1.487,"Communication Services, Television Services, Telecom, Media, Advertising"
BRAVIDA HOLDING AB (PUBL),"6,460",Sweden,1.487,Construction Materials
K'S HOLDINGS CORPORATION,"6,461",Japan,1.487,"Technology, Semiconductors"
TGS-NOPEC GEOPHYSICAL COMPANY ASA,"6,462",Norway,1.487,Financial Services
JIANGZHONG PHARMACEUTICAL CO. LTD,"6,463",China,1.486,"Industries, Construction Materials"
SAUDI GROUND SERVICES COMPANY,"6,464",Saudi Arabia,1.486,"Industries, Infrastructure, Railway Vehicles and Railway Components"
NEW HORIZON HEALTH LIMITED,"6,465",China,1.486,"Financial Services, Business Services, Conglomerate"
PNC PROCESS SYSTEMS,"6,466",China,1.486,"Healthcare, Medical Equipment"
SSY GROUP,"6,467",Hong Kong,1.486,"Financial Services, Asset Management"
SIGDO KOPPERS S.A.,"6,468",Chile,1.486,"Technology, Semiconductors"
PETKIM PETROKIMYA HOLDING A.S.,"6,469",Turkey,1.486,"Financial Services, Insurance"
PHREESIA,"6,470",USA,1.485,"Energy, Oil and Gas"
SIMPAR S.A.,"6,471",Brazil,1.485,"Financial Services, Banking Services"
GUIZHOU BAILING GROUP PHARMACEUTICAL,"6,472",China,1.485,"FMCG, Package Foods, Food Products"
HANSOL CHEMICAL,"6,473",South Korea,1.485,"Retail, Sports Goods"
DETERRA ROYALTIES LIMITED,"6,474",Australia,1.483,"Energy, Coal Mining, Mining"
TS TECH,"6,475",Japan,1.483,"Basic Materials, Mining, Gold Mining, Silver Mining, Precious Metals"
AETHER INDUSTRIES LIMITED,"6,476",India,1.483,"Real Estate, Financial Services"
VIVID SEATS INC.,"6,477",USA,1.482,"Financial Services, Asset Management"
MIDDLE EAST HEALTHCARE COMPANY,"6,478",Saudi Arabia,1.482,"Technology, Communications Equipment"
BAVARIAN NORDIC A/S,"6,479",Denmark,1.482,"Real Estate, Construction, Asset Management"
"SHENZHEN SPECIAL ECONOMIC ZONE REAL ESTATE & PROPERTIES (GROUP) CO., LTD.","6,480",China,1.482,"Technology, Software and IT"
SHENZHEN AGRICULTURAL PRODUCTS GROUP,"6,481",China,1.482,"Financial Services, Banking Services"
KOREA GAS CORPORATION,"6,482",South Korea,1.481,Packaging
ASAHI INDIA GLASS,"6,483",India,1.481,"Industries, Waste and Trash Management"
PGT INNOVATIONS,"6,484",USA,1.481,Financial Services
PACIRA BIOSCIENCES,"6,485",USA,1.48,"Industries, Industry Machinery"
JIANGSU NEW ENERGY DEVELOPMENT,"6,486",China,1.48,"Basic Materials, Paints and Coatings, Chemicals"
ALIBABA PICTURES GROUP,"6,487",Hong Kong,1.48,"Healthcare, Pharmacy, Retail"
"TRANSWARP TECHNOLOGY (SHANGHAI) CO.,LTD.","6,488",China,1.479,"Technology, Communications Equipment"
ZHONGTIAN FINANCIAL GROUP COMPANY,"6,489",China,1.479,"Energy, Oil and Gas"
BANCO DO NORDESTE DO BRASIL,"6,489",Brazil,1.479,"Healthcare, Pharmaceutical, HealthCare Products"
CELLDEX THERAPEUTICS,"6,490",USA,1.479,"Utilities, Electric Utilities"
CAPRI GLOBAL CAPITAL,"6,491",India,1.479,"Utilities, Electric Utilities"
XIAMEN KINGDOMWAY GROUP COMPANY,"6,492",China,1.479,"Home & Furniture, Furniture"
AMANO CORPORATION,"6,493",Japan,1.478,"Industries, Construction"
PHOTRONICS,"6,494",USA,1.478,"Basic Materials, Mining"
YINSON HOLDINGS BERHAD,"6,495",Malaysia,1.478,"Technology, Technology Hardware and Instruments"
SHANGHAI INDUSTRIAL HOLDINGS,"6,496",Hong Kong,1.477,"Technology, Electronics, Capital Goods"
RLJ LODGING TRUST,"6,497",USA,1.476,"Healthcare, Biotechnology, Pharmaceutical"
RADIANT OPTO-ELECTRONICS CORPORATION,"6,498",Taiwan,1.476,"Financial Services, Insurance"
GUNMA BANK,"6,499",Japan,1.476,"Retail, Automobile, Automobile Dealers"
INVENTRUST PROPERTIES CORP.,"6,500",USA,1.476,"Metal Fabrication Products, Metal Products Manufacturing"
PT BUMI RESOURCES MINERALS TBK,"6,501",Indonesia,1.475,"Technology, Software and IT, Cloud Services"
"OSCAR HEALTH, INC.","6,502",USA,1.475,"Watches, Luxury Goods"
VERONA PHARMA,"6,503",UK,1.474,"Basic Materials, Mining, Gold Mining, Copper Mining, Precious Metals"
ADVANCED FIBER RESOURCES (ZHUHAI),"6,504",China,1.474,"Technology, Security Systems and Solutions"
BYTES TECHNOLOGY GROUP PLC,"6,505",UK,1.474,"Industries, Batteries, Electrical Products"
SEDLMAYR GRUND UND IMMOBILIEN AG,"6,506",Germany,1.473,"Technology, Electronics, Electrical Products, Computers Hardware"
BANNER CORPORATION,"6,507",USA,1.473,"Industries, Electrical Products, Cables and Wires"
CHIPBOND TECHNOLOGY CORPORATION,"6,508",Taiwan,1.472,"Automobile, Rent / Lease Services, Commercial Vehicles, Recreational Vehicles"
WUSTENROT & WURTTEMBERGISCHE AG,"6,509",Germany,1.471,"Utilities, Electric Utilities, Renewable Energy"
APOLLO MEDICAL HOLDINGS,"6,510",USA,1.471,Retail
PFEIFFER VACUUM TECHNOLOGY AG,"6,511",Germany,1.471,"Healthcare, Pharmaceutical, HealthCare Products, Biotechnology, Biopharmaceutical"
BRIGADE ENTERPRISES,"6,512",India,1.471,"Basic Materials, Gold Mining, Mining"
MIZUHO LEASING COMPANY,"6,513",Japan,1.47,"Retail, Department Stores, Real Estate, Entertainment, Hotels"
NICKEL MINES LIMITED,"6,514",Australia,1.47,"Utilities, Gas Utilities"
FB FINANCIAL CORPORATION,"6,515",USA,1.469,"Financial Services, Insurance"
REALOGY HOLDINGS,"6,515",USA,1.469,"Technology, Semiconductors"
"CHENGDU WINTRUE HOLDING CO., LTD.","6,516",China,1.469,"Basic Materials, Aluminum"
PET VALU HOLDINGS LTD.,"6,517",Canada,1.468,"Financial Services, Asset Management"
BLACKROCK ESG CAPITAL ALLOCATION TRUST,"6,518",USA,1.468,"Industries, Electrical Products"
"PONY TESTING CO., LTD.","6,519",China,1.468,"Healthcare, Pharmaceutical, HealthCare Products"
EIH LIMITED,"6,520",India,1.467,"Healthcare, Biotechnology"
CSG SYSTEMS INTERNATIONAL,"6,521",USA,1.466,"Financial Services, Stock Markets, Trading, Capital Markets"
SINO-PLATINUM METALS,"6,522",China,1.466,"Technology, Professional Services, Software and IT"
SILDARVINNSLAN HF.,"6,523",Iceland,1.465,"Financial Services, Banking Services"
NIKOLA CORPORATION,"6,524",USA,1.465,Footwear
"HANGZHOU COGENERATION GROUP CO., LTD.","6,525",China,1.465,"Healthcare, Hospitals"
NBT BANCORP,"6,526",USA,1.465,"Furniture, Home Improvement, Home Furnishing"
GETTY REALTY,"6,527",USA,1.464,"FMCG, Package Foods, Food Products"
NEWMARK GROUP,"6,528",USA,1.464,"Restaurants, Consumer Services, Entertainment"
BEIJING EGOVA CO. LTD,"6,529",China,1.463,"Technology, Software and IT, Technology Hardware and Instruments"
COMPANHIA DE SANEAMENTO DE MINAS GERAIS,"6,530",Brazil,1.463,"Financial Services, Banking Services"
LIER CHEMICAL,"6,531",China,1.463,"Financial Services, Stock Markets, Trading, Capital Markets"
PIGEON CORPORATION,"6,532",Japan,1.463,"Technology, Electronics, Capital Goods"
CHENGDU CORPRO TECHNOLOGY,"6,533",China,1.462,"Healthcare, Cannabis, Pharmaceutical"
UNI-SELECT,"6,534",Canada,1.461,"Financial Services, Stock Markets, Trading, Capital Markets"
NANTKWEST,"6,535",USA,1.461,"Industries, Shipping"
"GANZHOU TENGYUAN COBALT NEW MATERIAL CO., LTD.","6,535",China,1.46,Real Estate
BIOTEST,"6,536",Germany,1.46,"Construction Materials, Home Furnishing"
PRIMARY HEALTH PROPERTIES,"6,537",UK,1.46,"Financial Services, Banking Services"
JAHEZ INTERNATIONAL COMPANY FOR INFORMATION SYSTEMS TECHNOLOGY,"6,538",Saudi Arabia,1.459,Restaurants
HBM HEALTHCARE INVESTMENTS AG,"6,539",Switzerland,1.459,Financial Services
TOWNGAS CHINA COMPANY,"6,540",Hong Kong,1.459,"Heavy Machinery, Automobile, Bikes, Agriculture Machinery, Commercial Vehicles"
SUNPOWER CORPORATION,"6,541",USA,1.458,Textile
BEIJING CAPITAL DEVELOPMENT,"6,542",China,1.458,"Technology, Semiconductors"
BORREGAARD ASA,"6,543",Norway,1.458,"Utilities, Gas Utilities"
BORUSAN MANNESMANN BORU SANAYI VE TICARET,"6,544",Turkey,1.457,Financial Services
"HENAN ZHONGFU INDUSTRIAL CO.,LTD","6,545",China,1.456,"Technology, Electronics, Capital Goods"
ACADIA REALTY TRUST,"6,546",USA,1.455,"Industries, Industry Machinery"
KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED,"6,547",India,1.455,"Utilities, Electric Utilities"
"MIRION TECHNOLOGIES, INC.","6,547",USA,1.454,"Conglomerate, Communication Services, Telecom, Electronics, Retail"
ARION BANKA HF,"6,548",Iceland,1.454,"Basic Materials, Chemicals, Agriculture Related"
GERON CORPORATION,"6,549",USA,1.454,"Energy, Oil and Gas, Oil and Gas Equipment and Services, Oil Field Services"
BEIJING XINWEI TECHNOLOGY GROUP,"6,550",China,1.454,"Real Estate, Technology"
FREEHOLD ROYALTIES,"6,550",Canada,1.454,"Financial Services, Stock Markets, Trading, Capital Markets"
BSP FINANCIAL GROUP LIMITED,"6,551",Papua New Guinea,1.454,"Communication Services, Entertainment"
ELECTROLUX PROFESSIONAL AB (PUBL),"6,552",Sweden,1.454,"Basic Materials, Iron and Steel"
NATIONAL VISION HOLDINGS,"6,553",USA,1.454,Financial Services
GREEN THUMB INDUSTRIES,"6,554",USA,1.453,"FMCG, Package Foods, Food Products"
ULTRA CLEAN HOLDINGS,"6,555",USA,1.453,"Financial Services, Banking Services"
PT BUMI SERPONG DAMAI TBK,"6,556",Indonesia,1.452,"Financial Services, Conglomerate"
AEROSPACE INDUSTRIAL DEVELOPMENT CORPORATION,"6,557",Taiwan,1.452,"Apparels and Accessories, Textile"
TOA PAINT (THAILAND) PUBLIC COMPANY,"6,558",Thailand,1.452,"Healthcare, Pharmacy, Retail"
BEIJING GEHUA CATV NETWORK,"6,559",China,1.452,"Industries, Construction"
ZHEJIANG WANLIYANG,"6,560",China,1.452,"Retail, Super Markets"
TAMBURI INVESTMENT PARTNERS,"6,561",Italy,1.452,Footwear
SHANGHAI SINYANG SEMICONDUCTOR MATERIALS,"6,562",China,1.452,"Jewellery, Luxury Goods, Retail, Consumer Durables"
HUBER+SUHNER AG,"6,563",Switzerland,1.451,"Industries, Consumer Services"
TP ICAP,"6,564",UK,1.451,Asset Management
IMPAX ENVIRONMENTAL MARKETS,"6,565",UK,1.451,"Software and IT, Cloud Services, Software and IT Infrastructure, Financial Services"
KNOWLES CORPORATION,"6,566",USA,1.45,"Healthcare, Biotechnology"
"SINO BIOLOGICAL,INC.","6,567",China,1.45,"Alcoholic Beverages, Beverages"
TRAINLINE,"6,568",UK,1.45,"Industries, Shipping"
BIFFA,"6,569",UK,1.449,"Energy, Transportation, Marine Transportation, Oil and Gas"
BANK OF N.T. BUTTERFIELD & SON,"6,570",Bermuda,1.449,"Technology, Software and IT"
AB IGNITIS GRUPE,"6,571",Lithuania,1.449,"Communication Services, Entertainment"
ECHOSTAR CORPORATION,"6,572",USA,1.448,"Industries, Industry Machinery"
"ZHEJIANG YONGHE REFRIGERANT CO., LTD.","6,573",China,1.447,"Industries, Infrastructure"
VILMORIN & CIE SA,"6,574",France,1.447,"Energy, Oil and Gas"
JINDAL STAINLESS (HISAR),"6,575",India,1.447,"Technology, Software and IT"
TABCORP HOLDINGS,"6,576",Australia,1.447,"Basic Materials, Chemicals"
TALEND,"6,576",USA,1.446,"Food Service, Package Foods, FMCG, Packaging"
SHENZHEN YAN TIAN PORT HOLDINGS,"6,577",China,1.446,"Healthcare, Pharmaceutical"
SHENZHEN SINEXCEL ELECTRIC,"6,578",China,1.446,"Healthcare, Pharmaceutical, HealthCare Products"
KILLAM APARTMENT REAL ESTATE INVESTMENT TRUST,"6,579",Canada,1.445,"Technology, Consumer Electronics"
BIZLINK HOLDING,"6,580",Taiwan,1.445,Packaging
MEITU,"6,581",China,1.445,"Industries, Construction"
ENERGIEDIENST HOLDING AG,"6,582",Switzerland,1.445,"Industries, Industry Machinery"
HAW PAR CORPORATION,"6,583",Singapore,1.444,"Technology, Electronics, Capital Goods"
DANIELI & C. OFFICINE MECCANICHE,"6,584",Italy,1.443,"Financial Services, Asset Management"
HEXATRONIC GROUP AB (PUBL),"6,585",Sweden,1.443,"Retail, eCommerce"
ZHEJIANG COMMUNICATIONS TECHNOLOGY,"6,586",China,1.443,"Basic Materials, Wood Products"
YOUGOV,"6,587",UK,1.442,"Financial Services, Insurance"
CAPSTONE MINING CORP.,"6,587",Canada,1.442,"Metal Fabrication Products, Metal Products Manufacturing"
GS YUASA CORPORATION,"6,588",Japan,1.442,"Industries, Industry Machinery"
OKUMA CORPORATION,"6,589",Japan,1.442,Textile
PT BANK INA PERDANA TBK,"6,590",Indonesia,1.442,"Healthcare, Pharmaceutical"
LIUZHOU IRON & STEEL,"6,591",China,1.441,"Basic Materials, Chemicals"
FINVOLUTION GROUP,"6,592",China,1.441,"Financial Services, Banking Services"
"PUREGOLD PRICE CLUB, INC.","6,593",Philippines,1.441,"Conglomerate, Construction Materials"
BURE EQUITY AB (PUBL),"6,594",Sweden,1.441,"Utilities, Water Utilities"
